objectid,filename,youtubeid,title,creator,contributor,date,description,subject,location,referencedlocation,latitude,longitude,publisher,source,type,format,language,rights
mya00001,p1010589.jpg,,Resting while planting manioc_ Descansar al plantar yuca,"Andi, Carmen;Cadena, Luisa;Dagua, Delicia;Swanson, Tod","Warren, Lisa (photographer)",6/25/2013,"(l-r) Luisa Cadena, Tod Swanson, Delicia Dagua, and Carmen Andi sit to rest and prepare achiote while preparing a garden to plant manioc.",,,,-1.044812,-77.712667,,,image,image/jpeg,,
mya00002,,T-l5fWFiMDo,Apa mama clay request,"Dagua Toqueton, Benedicta Elodia","Warren, Lisa (videographer); Dagua, Delicia (speaker); Swanson, Tod (interviewer)",6/18/2014,"(Benedicta) Elodia Dagua Toqueton demonstrates the way she asks the manga apa mama (pottery clay grandmother) for permission to take the powerful being's clay from the ground. This is completed at the request of Lisa Warren and Tod Swanson, on the grounds of the Iyarina Lodge, as part of the summer session of the Andes-Amazon Field School. Undergraudate students from the University of Pittburgh summer program are present.",Clay; Pottery; Excrement; Laziness; Strength; Manga Allpa Mama; Killa; Sinzdhi; Manga Allpa; Manga; female laughter,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,"University of Maryland (College Park, Md.) 2020",By the Authority of Dream: Truth and Knowledge in Kichwa Muskuy Narratives,moving image,video/m4v,Kichwa,"Copyright 2020, Lisa W. Carney"
mya00003,,https://youtu.be/NHrBkb0lQMg,Chingarishka turi,"Dagua Toqueton, Belgica","Carney, Lisa Warren(interviewer);Dagua Toquetón, Benedicta Eulodia(speaker);Andi, Pedro(speaker)",7/2016,"BelgicaDagua Toquetón describes the events leading up to the disappearance of her younger brother, as well as the muskuy experiences her family members had subsequently that confirmed that he had been turned in to a yaku runa or water person anaconda. Bélgica's sister, Eulodia, and friend, Pedro, contribute comments. Lisa (Warren) Carney asked to record this story while the group gathered clay for making pottery on the grounds of the Iyarina Lodge. Two undergradaute students from the University of Pittsburgh were also present for the recording. ",Clay;Pottery;Laziness; Killa;Sinzdhi;Yaku Runa;Anaconda;Water People;Muskuy;Transformation;Rancia Warmi;Anger;Powerful spirit being;Supay,"Iyarina Lodge, Napo, Ecuador","Pastaza,Ecuador",-1.044812,-77.712667,"University of Maryland (College Park, Md.) 2020",By the Authority of Dream: Truth and Knowledge in Kichwa Muskuy Narratives,moving image,video/m4v,Kichwa,"Copyright 2020, Lisa W. Carney"
mya00004,elodia_manga_allpawa.png,,Elodia Manga Allpawa,"Dagua Toqueton, Benedicta Elodia","Warren, Lisa;(videographer) Swanson, Tod(speaker)",6/7/2015,"(Benedicta) Elodia Dagua Toqueton holds clay that she has dug out of a stream on the property of the Iyarina Lodge, in the presence of American students during a session of the Andes-Amazon Field school run by Dr. Tod Swanson. Dagua was a ceramics instructor and cultural heritage informant at the school.",manga allpa;pottery;clay;warmi yachay;women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/png,,
mya00005,2271.jpg,,Belgica tends the fire,"Dagua Toqueton, Belgica","Carney, Lisa Warren (photographer); Dagua Toquetón, Benedicta Elodia",7/15/2016,"Belgica Dagua Toquetón tends a fire where handmade pottery is being fired or is cooling near the fire. Photo was taken on the grounds of the Iyarina Lodge during a session of the Andes-Amazon Field school run by Dr. Tod Swanson. Belgicaand her older sister, (Benedicta) Elodia Dagua Toquetón were ceramic instructors, while Lisa (Warren) Carney was Teaching Assistant for the Amazonian Arts course. ",Clay;Pottery;Warmi Yachay;Women's knowledge;manga allpa;mukawa;Mukawa(drinking vessel),"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,image,image/jpeg,,
mya00006,,https://youtu.be/CX2KjggHQ-k,Manga allpa muskuy,"Dagua Toqueton, Benedicta Elodia","Swanson, Tod(speaker);Warren, Lisa(videographer);Ennis, Georgia(depicted)",6/18/2014,"(Benedicta) Elodia Dagua Toquetón tells the story of her dream from the night prior in which her husband caught a large anaconda, then in which she was arrested by the police for disorderly contact. Both dreams were telling of her impending discovery of pottery clay, as the anaconda and the police officer are the manga allpa amu (master of pottery clay). Lisa Warren asked Tod Swanson to elicit the story during a session of Advanced Kichwa at the Andes-Amazon field school. Other students present. Elodia had mentioned the story to her aunt, Delicia Dagua, that same morning when the entire group had gone to gather clay.",manga allpa;pottery;clay;warmi yachay;women's knowledge;amarun;anaconda;manzharina;fear;piñarina;anger;police;maitu;steamed fish;amu;spirit master;killa;laziness-laxity;drunkenness;machay,"Iyarina Lodge, Napo, Ecuador","Canelos,Ecuador",-1.044812,-77.712667,"University of Maryland (College Park, Md.) 2020",By the Authority of Dream: Truth and Knowledge in Kichwa Muskuy Narratives,moving image,video/m4v,Kichwa;Spanish,"Copyright 2020, Lisa W. Carney"
mya00007,,https://youtu.be/urUZpE2pWQE,Belgica makes black paint,"Dagua Toqueton, Belgica","Carney, Lisa Warren (videographer)",7/14/2016,BelgicaDagua mixes paint by rubbing a block of natural earth pigment on a plastic tray of water. The paint is used to decorate the drinking vessels and figures that Kichwa women create for use and sale. Belgicaand her sister (Benedicta) Elodia Dagua Toquetón prepared materials in their role as ceramic instructors at the Andes-Amazon Field School run by Dr. Tod Swanson. Lisa (Warren) Carney was Teaching Assistant for the Amazonian Arts class.,clay;pottery;manga allpa;paint;warmi yachay;women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,moving image,video/m4v,,
mya00008,,watch?v=IJB4NJmHQeI,Elodia prepares paintbrush stick,"Dagua Toqueton, Benedicta Elodia","Carney, Lisa Warren (videographer)",7/15/2016,(Benedicta) Elodia Dagua scrapes a stick down to a fine stick for use as a paint brush for  decorating the drinking vessels and figures that Kichwa women create for use and sale. Elodia and her sister BelgicaDagua Toquetón prepared materials in their role as ceramic instructors at the Andes-Amazon Field School run by Dr. Tod Swanson. Lisa (Warren) Carney was Teaching Assistant for the Amazonian Arts class.,clay;pottery;manga allpa;paint;warmi yachay;women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,moving image,video/m4v,,
mya00009,,https://youtu.be/HnYFHi3eJf4,Belgica and Elodia prepare paintbrushes,"Dagua Toqueton, Benedicta Elodia;Dagua Toqueton, Belgica","Carney, Lisa Warren (interviewer)",7/16/2016,"(Benedicta) Elodia Dagua scrapes a stick down to a fine stick for use as a paint brush, while her sister, BelgicaDagua Toquetón,  ties a small bundle of hair to a stick to complete the process. Teh women ceramic instructors at the Andes-Amazon Field School run by Dr. Tod Swanson. Lisa (Warren) Carney was Teaching Assistant for the Amazonian Arts class.",clay;pottery;manga allpa;awana (manga allpawa);pottery making;warmi yachay;women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,moving image,video/m4v,,
mya00010,,https://youtu.be/9F5vKe3HItQ,Dagua sisters and American students prepare pottery,"Dagua Toqueton, Benedicta Elodia;Dagua Toqueton, Belgica","Carney, Lisa Warren (interviewer)",7/17/2016,"(Benedicta) Elodia Dagua Toquetón, BelgicaDagua Toquetón, and two undergraduate students from the University of Pittsburgh create pottery out of clay during the Amazonian Arts class at the Andes-Amazon Field school run by Dr. Tod Swanson. Lisa (Warren) Carney was Teaching Assistant of the course.",clay;pottery;manga allpa;paint;warmi yachay;women's knowledge,"Iyarina Lodge, Napo, Ecuador",,-1.044812,-77.712667,,,moving image,video/m4v,Kichwa,
